"Account","Account"
"Last Sync","Laatste synchronisatie"
"Never","Nooit"
"Websites","Websites"
"Website(s)","Website(s)"
"Review Sources","Beoordelingsbronnen"
"Source(s)","Bron(nen)"
"Reviews","Beoordelingen"
"Review(s)","Beoordeling(en)"
"Connect","Verbinden"
"Sources","Bronnen"
"Show last %1 %2 log records","Toon de laatste %1 %2 logboekrecords"
"Sync All","Alles synchroniseren"
"Log is empty","Logboek is leeg"
"The review has been deleted.","De beoordeling is verwijderd."
"A total of %1 record(s) have been deleted.","In totaal zijn %1 record(s) verwijderd."
"Account disconnected successfully, and data flushed.","Account succesvol losgekoppeld en gegevens gewist."
"An error occurred: %1","Er is een fout opgetreden: %1"
"Connected to %1","Verbonden met %1"
"Required params missing in return","Vereiste parameters ontbreken in de retourgegevens"
"Manual","Handmatig"
"Top right","Rechtsboven"
"Top left","Linksboven"
"Bottom right","Rechtsonder"
"Bottom left","Linksonder"
"Sticky on right","Vast aan rechterkant"
"Sticky on left","Vast aan linkerkant"
"Popup","Popup"
"Slideout","Slideout"
"Always","Altijd"
"Slide down (hide on sticky options)","Omlaag schuiven (verbergen bij sticky opties)"
"Slide right (hide on sticky options)","Naar rechts schuiven (verbergen bij sticky opties)"
"Latest Review","Laatste beoordeling"
"Max Rating","Hoogste beoordeling"
"Small","Klein"
"Medium","Middelgroot"
"Large","Groot"
"Invalid entity ID.","Ongeldige entiteits-ID."
"No such entity with ID %1.","Geen entiteit met ID %1."
"Invalid UUID.","Ongeldige UUID."
"No such entity with UUID %1.","Geen entiteit met UUID %1."
"Could not save the entity: %1","Kon de entiteit niet opslaan: %1"
"Could not delete the entity: %1","Kon de entiteit niet verwijderen: %1"
"Module not enabled!","Module niet ingeschakeld!"
"Error: Could not connect!","Fout: kon geen verbinding maken!"
"Today","Vandaag"
"Yesterday","Gisteren"
"This week","Deze week"
"Last week","Vorige week"
"%1 days ago","%1 dagen geleden"
"Delete","Verwijderen"
"All periods","Alle perioden"
"Older","Ouder"
"Setup Account","Account instellen"
"label","Label"
"value","Waarde"
"actionId","Actie-ID"
"Disconnect Account","Account loskoppelen"
"Centralize Your Shopreviews","Centraliseer je Shopreviews"
"[shopreviews:header:text]","[shopreviews:header:text]"
"Website","Website"
"Support","Ondersteuning"
"Docs","Documentatie"
"Loading...","Ladenâ€¦"
"<span>based on</span> <b class=""count"">%1 %2</b>","<span>gebaseerd op</span> <b class=""count"">%1 %2</b>"
"%1 <span>/ %2</span>","%1 <span>/ %2</span>"
"Based on <b>%1 %2</b> from <b>%3 %4</b>","Gebaseerd op <b>%1 %2</b> van <b>%3 %4</b>"
"<b>From:</b> <i>%1</i>","<b>van:</b> <i>%1</i>"
"<b>%1 %2</b> from <b>%3 %4</b>","<b>%1 %2</b> van <b>%3 %4</b>"
"Reviews Data","Beoordelingsgegevens"
"ID","ID"
"Name","Naam"
"Rating","Beoordeling"
"Platform","Platform"
"Date","Datum"
"Description","Beschrijving"
"Filter Reviews","Beoordelingen filteren"
"No reviews data available","Geen beoordelingsgegevens beschikbaar"
"Page","Pagina"
"Previous","Vorige"
"Next","Volgende"
"Filter on review:","Filter op beoordeling:"
"All Reviews","Alle beoordelingen"
"Filter on year:","Filter op jaar:"
"Apply filters","Filters toepassen"
"Close window","Venster sluiten"
"download as .txt file","Download als .txt-bestand"
"Last 100 debug log records","Laatste 100 debug-logboekrecords"
"Last 100 error log records","Laatste 100 foutlogboekrecords"
"Failed to load data. Disable the ad blocker. If it didn't help, please contact us.","Gegevens laden mislukt. Schakel de adblocker uit. Als dit niet helpt, neem dan contact met ons op."
"More","Meer"
"Less","Minder"
"Shopreviews","Shopreviews"
"Data","Gegevens"
"Config","Configuratie"
"Settings","Instellingen"
"Shopreviews.com","Shopreviews.com"
"General","Algemeen"
"Branding","Branding"
"Debug & Logging","Debug & logboek"
"Logging","Logboek"
"Debug Mode","Debugmodus"
"Frontend","Frontend"
"Enable","Inschakelen"
"Filters","Filters"
"Rating Filter","Beoordelingsfilter"
"Years Filter","Jarenfilter"
"Sources Filter","Bronnenfilter"
"Layout","Indeling"
"Title","Titel"
"Meta Description","Meta beschrijving"
"Meta Keywords","Meta trefwoorden"
"Add Google structured data","Voeg Google gestructureerde gegevens toe"
"Reviews per page","Beoordelingen per pagina"
"Version","Versie"
"Enabled","Ingeschakeld"
"Website(s)","Website(s)"
"Show Stars","Toon sterren"
"Enable Modal Link","Schakel Popup link in"
"Modal Type","Modal type"
"Maximum Number of Reviews","Maximaal aantal beoordelingen"
"Show Review Summary","Toon samenvatting van beoordelingen"
"Show Sources","Toon bronnen"
"Full width","Volledige breedte"
"Yes","Ja"
"No","Nee"
"Autoplay","Autoplay"
"Show Arrows","Toon pijlen"
"Show Dots","Toon stippen"
"Total Number of Reviews","Totaal aantal beoordelingen"
"Review text length","Lengte van beoordelingstekst"
"Sort by","Sorteren op"
"Badge Location","Badge-locatie"
"Show Score","Toon score"
"Shopreviews.com - Platforms","Shopreviews.com - Platforms"
"Shopreviews.com - Reviews","Shopreviews.com - Beoordelingen"
"Shopreviews.com - Sources","Shopreviews.com - Bronnen"
"Shopreviews.com - Websites","Shopreviews.com - Websites"
"Logo","Logo"
"Logo Icon","Logo icoon"
"Is Active","Is actief"
"Updated At","Bijgewerkt op"
"Delete items","Items verwijderen"
"Are you sure you want to delete selected reviews?","Weet je zeker dat je de geselecteerde beoordelingen wilt verwijderen?"
"UUID","UUID"
"Review Body","Beoordelingstekst"
"Review Date","Beoordelingsdatum"
"Url","URL"
"Avg Rating","Gemiddelde beoordeling"
"Created At","Aangemaakt op"
"Last Synced","Laatst gesynchroniseerd"
"Next Sync","Volgende synchronisatie"
"Details","Details"
"Sort by date","Sorteer op datum"
"Posted on","Geschreven op"
"reviews placed on","reviews geschreven op"
"Excellent","Uitstekend"
"Very good","Zeer goed"
"Average","Gemiddeld"
"Poor","Matig"
"Terrible","Slecht"
"sources", "bronnen"
"source", "bron"
